날짜,라운드,승자,패자,결과
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,시바노 도라마루,리리옌(아마),흑 기타
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,허위한,양카이원,흑 기타
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,이링타오,리친청,흑 기타
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,쉬자위안,셰커,244수 백 불계승
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,자오천위,천셴(賢),흑 기타
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,판팅위,왕쩌진,130수 백 불계승
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,커제,송규상,190수 백 불계승
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,황윈쑹,차오쯔젠,흑 기타
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,판윈뤄,린스쉰,185수 흑 불계승
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,양딩신,퉁멍청,흑 기타
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,미위팅,랴오위안허,187수 흑 불계승
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,설현준,구쯔하오,319수 흑 0.5집승
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,신진서,최 정,219수 흑 불계승
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,신민준,알리 자바린,흑 기타
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,변상일,이치리키 료,흑 기타
2016-12-31,2016 리민배 세계 신예 바둑 최강전 본선 32강,이동훈,김명훈,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,박정수,백대현,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김창훈,김지명,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,위태웅,김영삼,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,이어덕둥,차부일,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김다영,김수용,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,강우혁,김종수,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,박상진,김수진,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,박건호,김민정,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,최재영,김형우,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,이창석,유재성,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,박재근,류민형,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,송지훈,서봉수,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,박하민,최영찬,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 1회차,김명훈,최기훈,흑 집승
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김명훈,문명근,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,송상훈,김선호,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김민호,강다정,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 1회차,김민호,이영주,흑 집승
2016-12-28,제36회 KBS바둑왕전 예선 2회차,박창명,장혜령,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김남훈,김채영,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,설현준,조경호,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,백찬희,김만수,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,유오성,김승준,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,박대영,장건현,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김진휘,정연우,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,한승주,김신영,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 1회차,강태훈,조승아,흑 집승
2016-12-28,제36회 KBS바둑왕전 예선 2회차,신민준,최명훈,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,변상일,김진훈,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,박경근,강 훈 (小),흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,조인선,김원빈,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,이범진,김기헌,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,류수항,윤찬희,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 1회차,황재연,조혜연,흑 집승
2016-12-28,제36회 KBS바둑왕전 예선 2회차,황재연,이홍열,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,강승민,김동우,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,박준석,박현수,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,한태희,김강민,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,최 정,이용수,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,이지현(남),정두호,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,안국현,윤민중,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김나현,차수권,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,이원영,이현호,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,허 진,최원용,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김정현(大),배준희,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김혜림,한상열,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,박시열,오정아,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,안성준,홍민표,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,황진형,권효진(여),흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김세동,박태희,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김현섭,김선기,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,이태현,안조영,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,이원도,이춘규,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,강유택,김누리,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,이슬아,송혜령,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,김승재,안정기,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,한상훈,김성진,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,박지연,이현욱,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,전영규,권효진(남),흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,홍기표,한웅규,흑 기타
2016-12-28,제36회 KBS바둑왕전 예선 2회차,온소진,장두진,흑 기타
