날짜,라운드,승자,패자,결과
2023-12-31,제5회 몽백합배 세계바둑오픈전 4강 1국,당이페이,랴오위안허,286수 흑 3.5집승
2023-12-31,2023-2024 KB국민은행 바둑리그 1-4,김진휘,백현우,279수 흑 불계승
2023-12-31,2023-2024 KB국민은행 바둑리그 1-4,신진서,이지현(남),229수 흑 불계승
2023-12-31,제5회 몽백합배 세계바둑오픈전 4강 1국,리쉬안하오,류위항,235수 흑 불계승
2023-12-31,2023-2024 KB국민은행 바둑리그 1-4,박정환,김창훈,169수 흑 불계승
2023-12-31,제2기 5육七 관절타이밍 한국기원 선수권전 8강 부활전 (1조),강동윤,안성준,250수 백 불계승
2023-12-31,2023-2024 KB국민은행 바둑리그 1-4,박영훈,박진솔,218수 백 불계승
2023-12-30,2023-2024 KB국민은행 바둑리그 1-3,양카이원,한상조,234수 백 불계승
2023-12-30,2023-2024 KB국민은행 바둑리그 1-3,문민종,박건호,197수 흑 불계승
2023-12-30,제5기 쏘팔코사놀 최고기사 결정전 1차 예선 3회차,정서준,김범서,흑 불계승
2023-12-30,2023-2024 KB국민은행 바둑리그 1-3,이창석,김명훈,218수 백 불계승
2023-12-30,2023-2024 KB국민은행 바둑리그 1-3,신민준,양카이원,335수 흑 3.5집승
2023-12-30,2023-2024 KB국민은행 바둑리그 1-3,이원영,신민준,183수 흑 불계승
2023-12-29,제5회 몽백합배 세계바둑오픈전 본선 8강,류위항,쉬자양,221수 흑 불계승
2023-12-29,제5회 몽백합배 세계바둑오픈전 본선 8강,랴오위안허,미위팅,244수 흑 0.5집승
2023-12-29,제5회 몽백합배 세계바둑오픈전 본선 8강,당이페이,구쯔하오,204수 백 불계승
2023-12-29,제5기 쏘팔코사놀 최고기사 결정전 1차 예선 3회차,김승구,이슬주,흑 불계승
2023-12-29,제5기 쏘팔코사놀 최고기사 결정전 1차 예선 3회차,기민찬,곽원근,흑 2.5집승
2023-12-29,제5기 쏘팔코사놀 최고기사 결정전 1차 예선 3회차,김윤태(小),김누리,백 5.5집승
2023-12-29,제5기 쏘팔코사놀 최고기사 결정전 1차 예선 3회차,임경찬,오승민,백 4.5집승
