날짜,라운드,승자,패자,결과
2020-12-31,제4회 몽백합배 세계바둑오픈전 본선 4강 1국,셰커,판팅위,236수 백 불계승
2020-12-31,제4회 몽백합배 세계바둑오픈전 본선 4강 1국,미위팅,쉬자양,238수 백 불계승
2020-12-31,2020-2021 KB국민은행 바둑리그 본선 6-1,백현우,김세동,193수 흑 불계승
2020-12-31,제44기 SG배 명인전 예선 1회전,김희수(남),김준석,흑 불계승
2020-12-31,2020 크라운해태배 본선 32강,오병우,박하민,223수 흑 불계승
2020-12-31,2020-2021 KB국민은행 바둑리그 본선 6-1,김명훈,김정현(大),170수 백 불계승
2020-12-31,2020 크라운해태배 본선 32강,설현준,심재익,225수 흑 불계승
2020-12-31,2020-2021 KB국민은행 바둑리그 본선 6-1,이동훈,박승화,153수 흑 불계승
2020-12-31,2020-2021 KB국민은행 바둑리그 본선 6-1,안성준,문유빈,174수 백 불계승
2020-12-31,제44기 SG배 명인전 예선 1회전,강유택,김영도,백 불계승
2020-12-31,2020-2021 KB국민은행 바둑리그 본선 6-1,박영훈,이창호,172수 백 불계승
2020-12-30,2020 크라운해태배 본선 32강,금지우,문민종,299수 흑 3.5집승
2020-12-30,2020-2021 KB국민은행 퓨처스리그 5-4,현유빈,김진휘,284수 백 3.5집승
2020-12-30,2020 크라운해태배 본선 32강,박현수,이 연,197수 흑 불계승
2020-12-30,2020-2021 KB국민은행 퓨처스리그 5-4,오유진,이현준,214수 백 불계승
2020-12-30,2020-2021 KB국민은행 퓨처스리그 5-4,김형우,오정아,239수 백 2.5집승
2020-12-29,제4회 몽백합배 세계바둑오픈전 본선 8강,쉬자양,멍타이링,172수 백 불계승
2020-12-29,제4회 몽백합배 세계바둑오픈전 본선 8강,판팅위,커제,193수 흑 불계승
2020-12-29,제4회 몽백합배 세계바둑오픈전 본선 8강,미위팅,셰얼하오,260수 흑 1.5집승
2020-12-29,2020 크라운해태배 본선 32강,조완규,오유진,253수 백 2.5집승
2020-12-29,제2회 한국 프로기사협회 리그 3조,유창주,이 연,백 3.5집승
