날짜,라운드,승자,패자,결과
2019-12-31,제13회 지지옥션배 신사 대 숙녀 연승대항전 본선 7국,송혜령,백성호,192수 백 불계승
2019-12-30,제13회 지지옥션배 신사 대 숙녀 연승대항전 본선 6국,송혜령,강 훈(大),283수 흑 5.5집승
2019-12-29,2019 조아바이톤배 루키리그 본선 14-2,한우진,권효진(남),166수 백 불계승
2019-12-29,2019 조아바이톤배 루키리그 본선 14-4,윤예성,현유빈,277수 흑 불계승
2019-12-29,2019-2020 KB국민은행 퓨처스리그 13-3,김기범,이상헌,300수 백 5.5집승
2019-12-29,2019-2020 KB국민은행 퓨처스리그 13-3,김창훈,이호승,192수 백 불계승
2019-12-29,2019-2020 KB국민은행 바둑리그 13-4,변상일,박진솔,201수 흑 불계승
2019-12-29,2019-2020 KB국민은행 바둑리그 13-4,이동훈,박건호,219수 흑 불계승
2019-12-29,2019-2020 KB국민은행 바둑리그 13-4,김세동,이창호,185수 흑 불계승
2019-12-29,2019-2020 KB국민은행 바둑리그 13-4,윤찬희,이창석,189수 흑 불계승
2019-12-29,2019-2020 KB국민은행 퓨처스리그 13-3,최원용,김현찬,200수 백 불계승
2019-12-29,2019-2020 KB국민은행 바둑리그 13-4,최철한,진시영,160수 백 불계승
2019-12-28,2019-2020 KB국민은행 퓨처스리그 13-1,김상천,강우혁,159수 흑 불계승
2019-12-28,2019-2020 KB국민은행 퓨처스리그 13-1,김민석,박현수,187수 흑 불계승
2019-12-28,2019-2020 KB국민은행 퓨처스리그 13-2,최광호,박영롱,311수 흑 3.5집승
2019-12-28,2019-2020 KB국민은행 바둑리그 13-3,김명훈,최 정,227수 흑 불계승
2019-12-28,2019-2020 KB국민은행 퓨처스리그 13-2,오장욱,한웅규,236수 백 불계승
2019-12-28,2019-2020 KB국민은행 바둑리그 13-3,이호승,이영구,271수 흑 불계승
2019-12-28,2019-2020 KB국민은행 바둑리그 13-3,한승주,한상훈,211수 흑 불계승
2019-12-28,2019-2020 KB국민은행 바둑리그 13-3,신진서,심재익,163수 흑 불계승
2019-12-28,2019-2020 KB국민은행 퓨처스리그 13-2,강창배,민상연,207수 흑 불계승
2019-12-28,2019-2020 KB국민은행 퓨처스리그 13-1,김기용,윤 혁,179수 흑 불계승
2019-12-28,2019-2020 KB국민은행 바둑리그 13-3,조한승,한태희,154수 백 불계승
2019-12-27,2019 NH농협은행 시니어 바둑리그 챔피언결정전 2차 (최종),조치훈,김종준,244수 백 불계승
2019-12-27,2019-2020 KB국민은행 바둑리그 13-2,박하민,문유빈,344수 백 1.5집승
2019-12-27,2019-2020 KB국민은행 바둑리그 13-2,신민준,설현준,166수 백 불계승
