날짜,라운드,승자,패자,결과
2013-12-27,제2회 합천군 초청 미래포석열전 본선 4강전,신민준,변상일,173수 흑 불계승
2013-12-27,제15기 맥심커피배 입신최강전 본선 24강전,조한승,홍성지,248수 백 0.5집승
2013-12-26,제2회 합천군 초청 미래포석열전 본선 4강전,신진서,나 현,214수 백 불계승
2013-12-25,"제1회 주강배 세계 바둑 단체 선수권대회 3, 4위전",구리,조훈현,209수 흑 불계승
2013-12-25,"제1회 주강배 세계 바둑 단체 선수권대회 3, 4위전",쿵제,이창호,212수 흑 불계승
2013-12-25,"제1회 주강배 세계 바둑 단체 선수권대회 3, 4위전",창하오,유창혁,280수 백 7.5집승
2013-12-24,제1회 주강배 세계 바둑 단체 선수권대회 본선 준결승전,스웨,구리,282수 흑 1.5집승
2013-12-24,제1회 주강배 세계 바둑 단체 선수권대회 본선 준결승전,저우루이양,창하오,345수 백 2.5집승
2013-12-24,제1회 주강배 세계 바둑 단체 선수권대회 본선 준결승전,천야오예,쿵제,243수 흑 불계승
2013-12-24,2013 KB국민은행 바둑리그 챔피언결정전 3차전,안국현,온소진,139수 흑 불계승
2013-12-24,2013 KB국민은행 바둑리그 챔피언결정전 3차전,강유택,김세동,191수 흑 불계승
2013-12-24,제1회 주강배 세계 바둑 단체 선수권대회 본선 준결승전,박정환,이창호,185수 흑 불계승
2013-12-24,제1회 주강배 세계 바둑 단체 선수권대회 본선 준결승전,강동윤,조훈현,133수 흑 불계승
2013-12-24,제1회 주강배 세계 바둑 단체 선수권대회 본선 준결승전,최철한,유창혁,190수 백 불계승
2013-12-24,제15기 맥심커피배 입신최강전 본선 24강전,안조영,서능욱,255수 백 6.5집승
2013-12-24,제15기 맥심커피배 입신최강전 본선 24강전,서봉수,박지은,249수 흑 불계승
2013-12-23,제1회 주강배 세계 바둑 단체 선수권대회 본선 5회전,미조카미 도모치카,쿵제,흑 불계승
2013-12-23,제1회 주강배 세계 바둑 단체 선수권대회 본선 5회전,구리,왕밍완,흑 불계승
2013-12-23,제1회 주강배 세계 바둑 단체 선수권대회 본선 5회전,창하오,류시훈,흑 불계승
2013-12-23,2013 KB국민은행 바둑리그 챔피언결정전 3차전,류수항,이호범,181수 흑 불계승
2013-12-23,2013 KB국민은행 바둑리그 챔피언결정전 3차전,김정현(大),조한승,205수 흑 불계승
2013-12-23,제1회 주강배 세계 바둑 단체 선수권대회 본선 5회전,박정환,왕위안쥔,205수 흑 불계승
2013-12-23,제1회 주강배 세계 바둑 단체 선수권대회 본선 5회전,강동윤,린즈한,293수 흑 5.5집승
2013-12-23,제1회 주강배 세계 바둑 단체 선수권대회 본선 5회전,최철한,샤오정하오,154수 백 불계승
2013-12-23,2013 KB국민은행 바둑리그 챔피언결정전 3차전,이세돌,이지현(남),141수 흑 불계승
2013-12-23,제1회 주강배 세계 바둑 단체 선수권대회 본선 5회전,유창혁,인밍밍Yin Mingming,183수 흑 불계승
2013-12-23,제1회 주강배 세계 바둑 단체 선수권대회 본선 5회전,조훈현,장밍주,326수 백 6.5집승
2013-12-23,제1회 주강배 세계 바둑 단체 선수권대회 본선 5회전,이창호,ZHAONIANCHEN(아마)마이클첸,164수 백 불계승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 4회전,스웨,강동윤,137수 흑 불계승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 3회전,스웨,린즈한,흑 집승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 3회전,저우루이양,샤오정하오,흑 집승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 3회전,천야오예,왕위안쥔,흑 집승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 4회전,샤오정하오,고바야시 고이치,흑 집승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 3회전,구리,강동윤,196수 백 불계승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 4회전,구리,조훈현,185수 흑 불계승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 4회전,창하오,유창혁,233수 백 4.5집승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 3회전,조치훈,ZHAONIANCHEN(아마)마이클첸,흑 집승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 4회전,조치훈,왕위안쥔,흑 집승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 3회전,다케미야 마사키,장밍주,흑 집승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 3회전,고바야시 고이치,인밍밍Yin Mingming,흑 집승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 4회전,박정환,천야오예,248수 백 불계승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 3회전,박정환,쿵제,173수 흑 불계승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 4회전,린즈한,다케미야 마사키,흑 집승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 4회전,최철한,저우루이양,223수 흑 불계승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 3회전,최철한,창하오,180수 백 불계승
2013-12-22,제1회 주강배 세계 바둑 단체 선수권대회 본선 4회전,이창호,쿵제,236수 백 불계승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 1회전,스웨,장밍주,흑 집승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 2회전,스웨,다케미야 마사키,흑 집승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 1회전,저우루이양,인밍밍Yin Mingming,흑 집승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 2회전,저우루이양,고바야시 고이치,흑 집승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 1회전,천야오예,ZHAONIANCHEN(아마)마이클첸,흑 집승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 2회전,천야오예,조치훈,흑 집승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 2회전,샤오정하오,유창혁,168수 백 불계승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 2회전,왕위안쥔,이창호,135수 흑 불계승
2013-12-21,2013 KB국민은행 바둑리그 챔피언결정전 2차전,김정현(大),김현찬,171수 흑 불계승
2013-12-21,2013 KB국민은행 바둑리그 챔피언결정전 2차전,강유택,김세동,194수 백 불계승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 2회전,박정환,미조카미 도모치카,212수 백 불계승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 2회전,강동윤,왕밍완,194수 백 불계승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 2회전,최철한,류시훈,233수 흑 불계승
2013-12-21,2013 KB국민은행 바둑리그 챔피언결정전 2차전,이세돌,김성진,182수 백 불계승
2013-12-21,제1회 주강배 세계 바둑 단체 선수권대회 본선 2회전,조훈현,린즈한,228수 백 불계승
2013-12-20,2013 KB국민은행 바둑리그 챔피언결정전 1차전,김세동,온소진,202수 백 불계승
2013-12-20,2013 KB국민은행 바둑리그 챔피언결정전 1차전,이세돌,안국현,186수 백 불계승
2013-12-19,2013 KB국민은행 바둑리그 챔피언결정전 1차전,김성진,강유택,277수 흑 0.5집승
2013-12-19,2013 KB국민은행 바둑리그 챔피언결정전 1차전,이지현(남),이호범,208수 백 불계승
2013-12-19,2013 KB국민은행 바둑리그 챔피언결정전 1차전,김정현(大),조한승,191수 흑 불계승
