날짜,라운드,승자,패자,결과
2018-12-29,제2회 크라운해태배 본선 16강,이창석,이동훈,280수 백 불계승
2018-12-29,제2회 크라운해태배 본선 16강,변상일,강승민,122수 백 불계승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,김희수(남),유재호,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,윤예성,박진영,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,문민종,조인선,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,심재익,이성재,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,현유빈,최명훈,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,박현수,허서현,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,송규상,문종호,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,안정기,박상진,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,최재영,송지훈,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,이창석,최홍윤,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,박재근,이형진,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,홍무진,류민형,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,박하민,강다정,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,김준석,김진휘,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,김명훈,정서준,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,설현준,김대용,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,백찬희,조경호,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,한승주,이주형,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,김성진,장건현,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,양우석,홍민표,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,이동훈,유오성,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,나 현,조승아,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,박시열,김경은,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,김세동,박준석,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,한웅규,박민규,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,윤찬희,신윤호,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,진시영,김채영,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,박진솔,조한승,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,윤준상,홍기표,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,홍성지,민상연,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,백홍석,이원영,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,이영구,강 훈 (小),흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,박영훈,강승민,흑 집승
2018-12-27,제38회 KBS바둑왕전 예선 3회전,원성진,안조영,흑 집승
2018-12-26,제1회 천부배 세계바둑선수권전 결승3번기 3국,천야오예,신진서,207수 흑 불계승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,김희수(남),이춘규,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,문종호,안국현,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,허서현,서능욱,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,김경은,권효진(남),흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,윤예성,오장욱,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,문민종,정두호,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,심재익,김승준,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 1회전,정서준,강우혁,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,정서준,마리야,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 1회전,강지범,이도현,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,이주형,송상훈,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 1회전,이주형,김형우,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,조승아,문명근,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 1회전,현유빈,이영주,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,현유빈,최규병,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,박현수,이현준,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,송규상,박종훈,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,안정기,김동호,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 1회전,박상진,김민석,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,박상진,최현재,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 1회전,최재영,한상조,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,최재영,강창배,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,이창석,김선기,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 1회전,박재근,송혜령,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,박재근,박대영,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,홍무진,박승화,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 1회전,홍무진,서중휘,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,송지훈,안성준,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,박하민,문지환,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,김준석,이승준,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 1회전,이유진,배준희,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,박진영,이원도,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 2회전,김명훈,이호범,흑 집승
2018-12-26,제38회 KBS바둑왕전 예선 1회전,이현준,이 연,흑 집승
