날짜,라운드,승자,패자,결과
2015-12-31,제2회 몽백합배 세계바둑오픈전 결승5번기 2국,커제,이세돌,221수 흑 불계승
2015-12-30,제2회 몽백합배 세계바둑오픈전 결승5번기 1국,이세돌,커제,143수 흑 불계승
2015-12-29,2015년 승단대회 3차,신진서,김누리,흑 집승
2015-12-24,제59회 국수전 도전5번기 2국,박정환,조한승,292수 흑 0.5집승
2015-12-22,2015 렛츠런파크배 오픈토너먼트 결승3번기 3국,신진서,김명훈,241수 백 불계승
2015-12-21,2015년 승단대회 3차,김강민,김선호,흑 집승
2015-12-21,2015년 승단대회 3차,김민규,김덕규,흑 집승
2015-12-21,2015년 승단대회 3차,박건호,안정기,흑 집승
2015-12-21,2015년 승단대회 3차,최재영,김채영,흑 집승
2015-12-21,2015년 승단대회 3차,이창석,김정현(大),흑 집승
2015-12-21,2015년 승단대회 3차,홍무진,이봉근,흑 집승
2015-12-21,2015년 승단대회 3차,송혜령,박태희,흑 집승
2015-12-21,2015년 승단대회 3차,오장욱,최 정,흑 집승
2015-12-21,2015년 승단대회 3차,송상훈,강승희,흑 집승
2015-12-21,2015년 승단대회 3차,이동휘,최문용,흑 집승
2015-12-21,2015년 승단대회 3차,최영찬,김혜민,흑 집승
2015-12-21,2015년 승단대회 3차,설현준,김나현,흑 집승
2015-12-21,2015년 승단대회 3차,백찬희,박정근,흑 집승
2015-12-21,2015년 승단대회 3차,유오성,박하민,흑 집승
2015-12-21,2015년 승단대회 3차,한승주,김종준,흑 집승
2015-12-21,2015년 승단대회 3차,신윤호,이현준,흑 집승
2015-12-21,2015년 승단대회 3차,오유진,김다영,흑 집승
2015-12-21,2015 렛츠런파크배 오픈토너먼트 결승3번기 2국,신진서,김명훈,206수 백 불계승
2015-12-21,2015년 승단대회 3차,신민준,이태현,흑 집승
2015-12-21,2015년 승단대회 3차,변상일,강우혁,흑 집승
2015-12-21,2015년 승단대회 3차,박경근,이영주,흑 집승
2015-12-21,2015년 승단대회 3차,박민규,현미진,흑 집승
2015-12-21,2015년 승단대회 3차,황재연,김민호,흑 집승
2015-12-21,2015년 승단대회 3차,오정아,정두호,흑 집승
2015-12-21,2015년 승단대회 3차,강승민,박종훈,흑 집승
2015-12-21,2015년 승단대회 3차,박준석,류수항,흑 집승
2015-12-21,2015년 승단대회 3차,김동호,이상헌,흑 집승
2015-12-21,2015년 승단대회 3차,강창배,김신영,흑 집승
2015-12-21,2015년 승단대회 3차,안성준,이기섭,흑 집승
2015-12-21,2015년 승단대회 3차,이호범,박재근,흑 집승
2015-12-21,2015년 승단대회 3차,이원도,김대용,흑 집승
2015-12-21,2015년 승단대회 3차,이슬아,김수진,흑 집승
2015-12-21,2015년 승단대회 3차,박지연,김기헌,흑 집승
2015-12-21,2015년 승단대회 3차,윤찬희,박상진,흑 집승
2015-12-21,2015년 승단대회 3차,조경호,박진영,흑 집승
2015-12-21,2015년 승단대회 3차,박승화,박시열,흑 집승
2015-12-21,2015년 승단대회 3차,최병환,배준희,흑 집승
2015-12-21,2015년 승단대회 3차,서중휘,이형진,흑 집승
2015-12-21,2015년 승단대회 3차,홍기표,장명한,흑 집승
2015-12-21,2015년 승단대회 3차,온소진,김준석,흑 집승
2015-12-21,2015년 승단대회 3차,유재호,최현재,흑 집승
2015-12-21,2015년 승단대회 3차,김기용,차수권,흑 집승
2015-12-21,2015년 승단대회 3차,서건우,이정원,흑 집승
2015-12-21,2015년 승단대회 3차,최원용,이영신,흑 집승
2015-12-21,2015년 승단대회 3차,옥득진,이유진,흑 집승
2015-12-21,2015년 승단대회 3차,이민진,송지훈,흑 집승
2015-12-21,2015년 승단대회 3차,권효진(여),황진형,흑 집승
2015-12-21,2015년 승단대회 3차,김성래,김민희,흑 집승
2015-12-21,2015년 승단대회 3차,김준영,김남훈,흑 집승
2015-12-21,2015년 승단대회 3차,이현욱,안국현,흑 집승
2015-12-21,2015년 승단대회 3차,안관욱,고재희,흑 집승
2015-12-21,2015년 승단대회 3차,김종수,김지명,흑 집승
2015-12-19,제2회 금용성배 세계 바둑 단체 선수권대회 5회전,위정치,린쥔옌,흑 집승
2015-12-19,제2회 금용성배 세계 바둑 단체 선수권대회 5회전,쑤야오궈,린위샹,흑 집승
2015-12-19,제2회 금용성배 세계 바둑 단체 선수권대회 5회전,구리,왕리청,흑 집승
2015-12-19,제2회 금용성배 세계 바둑 단체 선수권대회 5회전,천스위안,요다 노리모토,흑 집승
2015-12-19,제2회 금용성배 세계 바둑 단체 선수권대회 5회전,창하오,조치훈,흑 집승
2015-12-19,제2회 금용성배 세계 바둑 단체 선수권대회 5회전,녜웨이핑,고바야시 고이치,흑 집승
2015-12-19,제2회 금용성배 세계 바둑 단체 선수권대회 5회전,이동훈,최철한,80수 백 불계승
2015-12-19,제2회 금용성배 세계 바둑 단체 선수권대회 5회전,박정환,이세돌,112수 백 불계승
2015-12-19,제2회 금용성배 세계 바둑 단체 선수권대회 5회전,박영훈,김지석,168수 백 불계승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 3회전,커제,박정환,252수 백 불계승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 4회전,커제,이세돌,221수 흑 불계승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 3회전,린쥔옌,왕리청,흑 집승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 3회전,스웨,김지석,161수 흑 불계승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 4회전,스웨,박영훈,168수 백 불계승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 3회전,저우루이양,이동훈,252수 백 불계승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 3회전,구리,최철한,248수 백 불계승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 3회전,천스위안,고바야시 고이치,흑 집승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 3회전,조치훈,린리샹,흑 집승
2015-12-18,2015년 승단대회 2차,김민규,배준희,흑 집승
2015-12-18,2015년 승단대회 2차,안정기,신윤호,흑 집승
2015-12-18,2015년 승단대회 2차,최재영,이현준,흑 집승
2015-12-18,2015년 승단대회 2차,이창석,김나현,흑 집승
2015-12-18,2015년 승단대회 2차,박재근,최영찬,흑 집승
2015-12-18,2015년 승단대회 2차,홍무진,김수진,흑 집승
2015-12-18,2015년 승단대회 2차,송지훈,김민희,흑 집승
2015-12-18,2015년 승단대회 2차,박하민,고재희,흑 집승
2015-12-18,2015년 승단대회 2차,이유진,강승희,흑 집승
2015-12-18,2015년 승단대회 2차,박종훈,박상진,흑 집승
2015-12-18,2015년 승단대회 2차,박진영,박태희,흑 집승
2015-12-18,2015년 승단대회 2차,송상훈,정두호,흑 집승
2015-12-18,2015년 승단대회 2차,김민호,최원용,흑 집승
2015-12-18,2015년 승단대회 2차,김남훈,이영주,흑 집승
2015-12-18,2015년 승단대회 2차,최현재,김지명,흑 집승
2015-12-18,2015년 승단대회 2차,설현준,황재연,흑 집승
2015-12-18,2015년 승단대회 2차,백찬희,이정원,흑 집승
2015-12-18,2015년 승단대회 2차,유오성,서중휘,흑 집승
2015-12-18,2015년 승단대회 2차,한승주,김준석,흑 집승
2015-12-18,2015년 승단대회 2차,김신영,최병환,흑 집승
2015-12-18,2015년 승단대회 2차,오유진,박지연,흑 집승
2015-12-18,2015년 승단대회 2차,신진서,김기헌,흑 집승
2015-12-18,2015년 승단대회 2차,신민준,이동휘,흑 집승
2015-12-18,2015년 승단대회 2차,변상일,김혜민,흑 집승
2015-12-18,2015년 승단대회 2차,박경근,권효진(여),흑 집승
2015-12-18,2015년 승단대회 2차,이상헌,김성래,흑 집승
2015-12-18,2015년 승단대회 2차,박민규,김종수,흑 집승
2015-12-18,2015년 승단대회 2차,류수항,오장욱,흑 집승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 4회전,이동훈,구리,258수 백 불계승
2015-12-18,2015년 승단대회 2차,김채영,김선호,흑 집승
2015-12-18,2015년 승단대회 2차,강승민,이원도,흑 집승
2015-12-18,2015년 승단대회 2차,박준석,온소진,흑 집승
2015-12-18,2015년 승단대회 2차,김누리,현미진,흑 집승
2015-12-18,2015년 승단대회 2차,김동호,장명한,흑 집승
2015-12-18,2015년 승단대회 2차,최 정,강창배,흑 집승
2015-12-18,2015년 승단대회 2차,안국현,강우혁,흑 집승
2015-12-18,2015년 승단대회 2차,장건현,이영신,흑 집승
2015-12-18,2015년 승단대회 2차,김정현(大),김다영,흑 집승
2015-12-18,2015년 승단대회 2차,박시열,박건호,흑 집승
2015-12-18,2015년 승단대회 2차,안성준,이기섭,흑 집승
2015-12-18,2015년 승단대회 2차,황진형,최문용,흑 집승
2015-12-18,2015년 승단대회 2차,이호범,이형진,흑 집승
2015-12-18,2015년 승단대회 2차,이태현,이현욱,흑 집승
2015-12-18,2015년 승단대회 2차,이슬아,차수권,흑 집승
2015-12-18,2015년 승단대회 2차,윤찬희,김종준,흑 집승
2015-12-18,2015년 승단대회 2차,조경호,옥득진,흑 집승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 4회전,박정환,녜웨이핑,196수 백 불계승
2015-12-18,2015년 승단대회 2차,박승화,유재호,흑 집승
2015-12-18,2015년 승단대회 2차,홍기표,송혜령,흑 집승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 4회전,김지석,창하오,207수 흑 불계승
2015-12-18,2015년 승단대회 2차,서건우,김기용,흑 집승
2015-12-18,2015년 승단대회 2차,김대용,김강민,흑 집승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 3회전,박영훈,창하오,292수 백 0.5집승
2015-12-18,2015년 승단대회 2차,이민진,오정아,흑 집승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 4회전,최철한,저우루이양,186수 백 불계승
2015-12-18,제2회 금용성배 세계 바둑 단체 선수권대회 3회전,이세돌,녜웨이핑,263수 흑 불계승
2015-12-18,2015년 승단대회 2차,김준영,이봉근,흑 집승
2015-12-18,2015년 승단대회 2차,안관욱,김덕규,흑 집승
2015-12-17,제2회 금용성배 세계 바둑 단체 선수권대회 2회전,구리,린쥔옌,흑 집승
2015-12-17,제2회 금용성배 세계 바둑 단체 선수권대회 2회전,창하오,린위샹,흑 집승
2015-12-17,제2회 금용성배 세계 바둑 단체 선수권대회 2회전,녜웨이핑,천스위안,흑 집승
2015-12-17,2015년 승단대회(1차),안정기,최문용,흑 집승
2015-12-17,2015년 승단대회(1차),박상진,최원용,흑 집승
2015-12-17,2015년 승단대회(1차),박건호,송지훈,흑 집승
2015-12-17,2015년 승단대회(1차),최재영,김준영,흑 집승
