날짜,라운드,승자,패자,결과
2021-12-31,2021 호반 여자 최고기사 결정전 본선 21국,조승아,이민진,277수 백 16.5집승
2021-12-31,2021-2022 KB국민은행 바둑리그 본선 6-2,김명훈,한상훈,154수 백 불계승
2021-12-31,2021-2022 KB국민은행 바둑리그 본선 6-2,신민준,송규상,210수 백 불계승
2021-12-31,2021-2022 KB국민은행 바둑리그 본선 6-2,이동훈,김세동,296수 흑 0.5집승
2021-12-31,2021-2022 KB국민은행 바둑리그 본선 6-2,김승재,최재영,284수 흑 0.5집승
2021-12-31,2021-2022 KB국민은행 바둑리그 본선 6-2,홍성지,박민규,243수 흑 불계승
2021-12-30,2021 크라운해태배 본선 16강,송규상,이창석,357수 백 0.5집승
2021-12-30,2021 크라운해태배 본선 16강,박상진,양유준,213수 흑 불계승
2021-12-30,2021-2022 KB국민은행 바둑리그 본선 6-1,박하민,안성준,240수 백 불계승
2021-12-30,2021-2022 KB국민은행 바둑리그 본선 6-1,한승주,이태현,157수 흑 불계승
2021-12-30,2021-2022 KB국민은행 바둑리그 본선 6-1,최 정,이창호,232수 백 불계승
2021-12-30,2021-2022 KB국민은행 바둑리그 본선 6-1,안국현,조완규,229수 흑 불계승
2021-12-30,2021-2022 KB국민은행 바둑리그 본선 6-1,윤찬희,한상조,230수 백 불계승
2021-12-30,2021 호반 여자 최고기사 결정전 본선 20국,이민진,오유진,192수 백 불계승
2021-12-29,2021-2022 KB국민은행 퓨처스리그 5-4,김상천,최기훈,245수 백 0.5집승
2021-12-29,2021-2022 KB국민은행 퓨처스리그 5-4,위태웅,김승준,159수 흑 불계승
2021-12-29,2021 크라운해태배 본선 16강,박하민,백현우,210수 백 불계승
2021-12-29,2021 크라운해태배 본선 16강,박종훈,강우혁,151수 흑 불계승
2021-12-29,2021 호반 여자 최고기사 결정전 본선 19국,김채영,조혜연,321수 백 2.5집승
2021-12-29,2021-2022 KB국민은행 퓨처스리그 5-4,안조영,강지훈,191수 흑 불계승
2021-12-28,제3회 쏘팔 코사놀 최고기사 결정전 2차 예선 10국,허영락,위태웅,136수 백 불계승
2021-12-28,제27회 GS칼텍스배 프로기전 최종예선,송지훈,김채영,152수 백 불계승
2021-12-28,2021 크라운해태배 본선 32강,오유진,김지명,287수 백 0.5집승
2021-12-28,2021 크라운해태배 본선 32강,신민준,박건호,119수 흑 불계승
2021-12-27,제9회 중국 여자 갑조리그 18라운드,장멍야오,옌시무,흑 집승
2021-12-27,제9회 중국 여자 갑조리그 18라운드,탕자원,리샤오시94,흑 집승
2021-12-27,제9회 중국 여자 갑조리그 18라운드,추커얼,왕천싱,흑 집승
