날짜,라운드,승자,패자,결과
2024-11-16,2024 삼성화재배 월드바둑마스터스 본선 8강,진위청,쉬자양,202수 백 불계승
2024-11-16,2024 삼성화재배 월드바둑마스터스 본선 8강,당이페이,리쉬안하오,224수 백 불계승
2024-11-15,2024 삼성화재배 월드바둑마스터스 본선 16강,쉬자양,신민준,267수 흑 5.5집승
2024-11-15,2024 삼성화재배 월드바둑마스터스 본선 16강,롄샤오,천셴(賢),320수 백 1.5집승
2024-11-15,2024 SUPER CUP BADUK OPEN 본선 8강,백현우,나 현,227수 흑 3.5집승
2024-11-15,2024 SUPER CUP BADUK OPEN 본선 8강,김상천,송지훈,흑 집승
2024-11-15,2024 SUPER CUP BADUK OPEN 본선 4강,김상천,이지현(남),260수 흑 0.5집승
2024-11-15,2024 SUPER CUP BADUK OPEN 본선 8강,박종훈,김범서,흑 집승
2024-11-15,2024 SUPER CUP BADUK OPEN 본선 4강,박종훈,백현우,295수 흑 2.5집승
2024-11-15,2024 SUPER CUP BADUK OPEN 결승,박종훈,김상천,286수 백 3.5집승
2024-11-15,2024 삼성화재배 월드바둑마스터스 본선 16강,신진서,커제,278수 흑 0.5집승
2024-11-15,2024 SUPER CUP BADUK OPEN 본선 8강,이지현(남),엄동건,241수 흑 불계승
2024-11-15,2024 삼성화재배 월드바둑마스터스 본선 16강,리쉬안하오,판인,182수 백 불계승
2024-11-14,2024 SUPER CUP BADUK OPEN 예선 2회차,강유승(아마),최광호,흑 불계승
2024-11-14,2024 SUPER CUP BADUK OPEN 예선 3회차,강유승(아마),최현재,백 불계승
2024-11-14,2024 SUPER CUP BADUK OPEN 예선 2회차,변정민(아마),박성윤(아마),백 불계승
2024-11-14,2024 SUPER CUP BADUK OPEN 예선 3회차,김사우(아마),박지현,백 불계승
2024-11-14,2024 SUPER CUP BADUK OPEN 예선 2회차,김사우(아마),이주형,백 1.5집승
2024-11-14,2024 삼성화재배 월드바둑마스터스 본선 16강,진위청,시바노 도라마루,192수 백 불계승
2024-11-14,2024 삼성화재배 월드바둑마스터스 본선 16강,딩하오,최 정,150수 백 불계승
2024-11-14,2024 삼성화재배 월드바둑마스터스 본선 16강,셰커,김은지,268수 백 불계승
2024-11-14,2024 삼성화재배 월드바둑마스터스 본선 16강,당이페이,안정기,155수 흑 불계승
2024-11-14,2024 SUPER CUP BADUK OPEN 예선 2회차,정우석(아마),한웅규,흑 불계승
2024-11-14,2024 SUPER CUP BADUK OPEN 예선 2회차,양동일(아마),강재우,흑 불계승
2024-11-14,2024 SUPER CUP BADUK OPEN 예선 2회차,이신우(아마),김희수(여),백 불계승
2024-11-14,2024 SUPER CUP BADUK OPEN 예선결승,홍세영,이현준,흑 불계승
2024-11-14,2024 SUPER CUP BADUK OPEN 예선 2회차,홍세영,김승재,백 불계승
2024-11-14,2024 SUPER CUP BADUK OPEN 예선 3회차,홍세영,조한승,흑 불계승
