날짜,라운드,승자,패자,결과
2022-12-31,2022-2023 KB국민은행 바둑리그 인터리그 1-1,권효진(남),한우진,180수 백 불계승
2022-12-31,제2기 5육七 관절타이밍 한국기원 선수권전 32강 1라운드(8조),설현준,정서준,177수 흑 불계승
2022-12-31,2022-2023 KB국민은행 바둑리그 인터리그 1-1,변상일,박민규,174수 백 불계승
2022-12-31,2022-2023 KB국민은행 바둑리그 인터리그 1-1,강유택,변상일,146수 흑 시간승
2022-12-31,2022-2023 KB국민은행 바둑리그 인터리그 1-1,홍성지,박민규,309수 흑 1.5집승
2022-12-31,2022-2023 KB국민은행 바둑리그 인터리그 1-1,원성진,김정현(大),194수 백 불계승
2022-12-30,제4기 쏘팔코사놀 최고기사 결정전 2차 예선 2회차,박지현,김현빈,흑 불계승
2022-12-30,제4기 쏘팔코사놀 최고기사 결정전 2차 예선 2회차,백현우,강우혁,흑 불계승
2022-12-30,2022-2023 KB국민은행 바둑리그 난가리그 1-3,백현우,안성준,255수 흑 불계승
2022-12-30,22-23 하나은행 MZ바둑 슈퍼매치 예선 4회차 (Z세대),한우진,변상일,흑 불계승
2022-12-30,제8회 한국 프로기사협회 리그 2조,오병우,김지명,흑 불계승
2022-12-30,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),문민종,김주아,흑 불계승
2022-12-30,제4기 쏘팔코사놀 최고기사 결정전 2차 예선 2회차,문민종,이지현(남),흑 불계승
2022-12-30,제4기 쏘팔코사놀 최고기사 결정전 2차 예선 3회차,정서준,김세현,백 불계승
2022-12-30,제8회 한국 프로기사협회 리그 5조,정서준,김준석,흑 불계승
2022-12-30,2022-2023 KB국민은행 바둑리그 난가리그 1-3,박건호,박진솔,151수 흑 불계승
2022-12-30,제4기 쏘팔코사놀 최고기사 결정전 2차 예선 2회차,송지훈,백홍석,백 불계승
2022-12-30,제4기 쏘팔코사놀 최고기사 결정전 2차 예선 3회차,박종훈,한승주,156수 백 불계승
2022-12-30,제4기 쏘팔코사놀 최고기사 결정전 2차 예선 2회차,설현준,주치홍,백 불계승
2022-12-30,2022 닥터지 여자 최고기사 결정전 본선 30국(동률 재대국),오유진,김은지,143수 흑 불계승
2022-12-30,2022-2023 KB국민은행 바둑리그 난가리그 1-3,신진서,김형우,194수 백 시간승
2022-12-30,제8회 한국 프로기사협회 리그 5조,양우석,양민석,백 불계승
2022-12-30,제4기 쏘팔코사놀 최고기사 결정전 2차 예선 2회차,김정현(大),이영구,흑 불계승
2022-12-30,2022-2023 KB국민은행 바둑리그 난가리그 1-3,김승재,안국현,20수 흑 불계승
2022-12-29,제8회 한국 프로기사협회 리그 6조,정준우,김희수(여),백 불계승
2022-12-29,제8회 한국 프로기사협회 리그 3조,이의현,김수진,흑 불계승
2022-12-29,22-23 하나은행 MZ바둑 슈퍼매치 예선 4회차 (Z세대),금지우,이 연,흑 불계승
2022-12-29,제8회 한국 프로기사협회 리그 4조,윤성식,유주현,백 불계승
2022-12-29,제8회 한국 프로기사협회 리그 6조,차주혜,김희수(여),흑 불계승
2022-12-29,제8회 한국 프로기사협회 리그 5조,이도현,장은빈,백 불계승
2022-12-29,제8회 한국 프로기사협회 리그 5조,이도현,이영신,흑 불계승
2022-12-29,22-23 하나은행 MZ바둑 슈퍼매치 예선 결승 (Z세대),한상조,박건호,흑 0.5집승
2022-12-29,22-23 하나은행 MZ바둑 슈퍼매치 예선 4회차 (Z세대),한상조,신민준,349수 흑 1.5집승
2022-12-29,22-23 하나은행 MZ바둑 슈퍼매치 예선 2회차 (Z세대),문민종,허서현,흑 불계승
2022-12-29,제8회 한국 프로기사협회 리그 1조,박종훈,박지현,흑 불계승
2022-12-29,22-23 하나은행 MZ바둑 슈퍼매치 예선 4회차 (M세대),김진휘,윤찬희,흑 3.5집승
2022-12-29,2022-2023 KB국민은행 바둑리그 난가리그 1-2,한승주,강유택,162수 백 불계승
2022-12-29,2022-2023 KB국민은행 바둑리그 난가리그 1-2,박민규,강승민,100수 백 불계승
2022-12-29,22-23 하나은행 MZ바둑 슈퍼매치 예선 결승 (M세대),한태희,이지현(남),254수 백 불계승
2022-12-29,22-23 하나은행 MZ바둑 슈퍼매치 예선 결승 (M세대),안성준,김진휘,백 불계승
2022-12-29,2022-2023 KB국민은행 바둑리그 난가리그 1-2,강동윤,원성진,182수 백 불계승
2022-12-29,2022-2023 KB국민은행 바둑리그 난가리그 1-2,원성진,강동윤,294수 백 1.5집승
2022-12-29,2022-2023 KB국민은행 바둑리그 난가리그 1-2,조한승,한우진,252수 백 불계승
2022-12-29,제8회 한국 프로기사협회 리그 6조,양 건,서문형원,흑 불계승
2022-12-29,제8회 한국 프로기사협회 리그 4조,백성호,김성재,기권승
2022-12-28,2022-2023 KB국민은행 바둑리그 난가리그 1-1,쉬하오훙,윤찬희,197수 흑 불계승
2022-12-28,2022-2023 KB국민은행 바둑리그 난가리그 1-1,린쥔옌,최철한,170수 백 불계승
2022-12-28,제8회 한국 프로기사협회 리그 3조,김현빈,박소율,흑 불계승
2022-12-28,제8회 한국 프로기사협회 리그 3조,김승진,김현빈,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 2회차 (Z세대),박지현,윤성식,백 불계승
2022-12-28,2022 닥터지 여자 최고기사 결정전 본선 29국(동률 재대국),김은지,허서현,187수 흑 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),금지우,박현수,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),이재성,이의현,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (M세대),강지훈,박영훈,흑 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),한우진,오병우,흑 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),이 연,임경찬,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),한상조,김상천,백 불계승
2022-12-28,제8회 한국 프로기사협회 리그 1조,문민종,한상조,흑 4.5집승
2022-12-28,2022-2023 KB국민은행 바둑리그 난가리그 1-1,심재익,라이쥔푸,169수 흑 불계승
2022-12-28,제8회 한국 프로기사협회 리그 2조,박정수,김지명,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 2회차 (Z세대),박현수,기민찬,흑 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),박건호,최민서,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 4회차 (Z세대),박건호,이재성,흑 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),송지훈,조완규,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 4회차 (Z세대),송지훈,박하민,241수 흑 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),박하민,최원진,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),설현준,권효진(남),147수 흑 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (M세대),김진휘,김승재,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),신민준,김경은,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 2회차 (Z세대),신민준,강우혁,흑 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (Z세대),변상일,박지현,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (M세대),한태희,이창석,백 1.5집승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 4회차 (M세대),한태희,나 현,흑 0.5집승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (M세대),김누리,이원도,백 불계승
2022-12-28,22-23 하나은행 MZ바둑 슈퍼매치 예선 3회차 (M세대),나 현,최기훈,흑 불계승
